Stage,Exercise,Description,Reps/Sets
Acute Stage,Ankle Pumps,Lie on your back with legs straight. Flex and point your toes to stimulate blood flow and reduce swelling.,10-15 reps
Acute Stage,Quad Sets,Sit with your leg straight and tighten your thigh muscle. Hold for 5 seconds and then relax.,10-15 reps
Acute Stage,Hamstring Sets,Lie on your back with your knee bent. Press your heel into the floor and tighten your hamstrings. Hold for 5 seconds.,10-15 reps
Acute Stage,Heel Slides,"Lie on your back and slowly slide your heel towards your buttocks, then slide it back. Move within a pain-free range.",10-15 reps
Pre-surgical Stage or Conservative Treatment,Straight Leg Raises,"Lie on your back with one knee bent and one leg straight. Lift the straight leg to the height of the bent knee, then lower it slowly.",10-15 reps
Pre-surgical Stage or Conservative Treatment,Bridges,"Lie on your back with your knees bent and feet flat on the floor. Lift your hips towards the ceiling, then lower them slowly.",10-15 reps
Pre-surgical Stage or Conservative Treatment,Clamshells,Lie on your side with knees bent and feet together. Open and close your top knee while keeping your feet touching.,10-15 reps
Pre-surgical Stage or Conservative Treatment,Wall Sits,Slide your back down a wall until your thighs are parallel to the floor. Hold this position while maintaining proper form.,10-15 seconds
Post-surgical Stage,Heel Drops,"Stand on the edge of a step with your heels hanging off. Slowly lower your heels below the step, then raise them back up.",10-15 reps
Post-surgical Stage,Mini Squats,"Stand with feet shoulder-width apart. Bend your knees slightly and lower your body a few inches, then return to standing.",10-15 reps
Post-surgical Stage,Step-Ups,"Step up onto a sturdy platform with one foot, then bring the other foot up. Step down one foot at a time.",10-15 reps
Post-surgical Stage,Bicycle Exercise,"Lie on your back and perform a pedaling motion with your legs, mimicking the motion of cycling.",10-15 reps
Return to Sport,Single-Leg Squats,Perform squats on one leg while keeping the other leg elevated. Maintain balance and control throughout the movement.,10-15 reps
Return to Sport,Lateral Bounds,"Jump side to side from one leg to the other, landing softly and maintaining balance.",10-15 reps
Return to Sport,Agility Ladder Drills,Perform various footwork drills using an agility ladder to improve coordination and speed.,10-15 reps
Return to Sport,Sport-Specific Drills,"Incorporate movements and drills specific to the sport you are returning to, such as running, cutting, or jumping exercises.",10-15 minutes